				
Odoo	Ref	Value	Name	Qnty
-	K1, K2, K3, K4, 	TRXS-5VDC-R	TRXS-5VDC-R_DIP_15x7.5x9.5	4
1661	L1, 	BLM18KG601SN1D	BLM18KG601SN1D, Ferrite Chip Beads, 0603 600 OHM 1.3A [SMD]	1
-	L2, L3, 	ABG10A50M470	ABG10A50M151, Inductor SMD  150uH,390mOhm,Isat=2.2A [SMD]	2
-	L4, L5, L6, 	ABG06A45M100_L_SMD_6x6x4.5	ABG06A45M100_L_SMD_6x6x4.5	3
~	L7, 	ABG10A50M101	ABG10A50M101_L_100UH_RING_SMD_10.3x10.3x5.1	1
2677	Q1, Q13, Q14, Q17, Q19, Q2, Q21, Q22, Q3, Q4, 	2N7002P	2N7002P, 215, MOSFET Small Signal N-CH 60V 0.3A N-CHANNEL TRENCH, SOT-23-3 [SMD]	10
-	Q10, Q11, Q12, Q5, Q6, Q7, Q8, Q9, 	DMT10H009LCG	DMT10H009LCG_SMD_V-DFN3333-8_TYPE_B	8
1605	Q15, Q16, 	IRLML6402	IRLML6402TRPBF, MOSFET MOSFT P-Ch -3.7A 65mOhm 8nC Log Lvl, SOT-23-3 [SMD]	2
2823	Q18, Q20, 	IRLML9301	IRLML9301TRPBF, MOSFET MOSFT P-Ch -30V -3.6A 64mOhm, SOT-23-3 [SMD]	2
3528	R1, R126, R128, R138, R139, R140, R141, R142, R143, R160, R161, R162, R163, R164, R165, R2, R6, R7, 	150	RES_150_Ohm_1%_SMD_0402	18
1753	R3, 	1k	RES_1_kOhm_1%_SMD_0402	1
1976	R8, R9, 	1k5	Chip resistor 0603 5% 1K5 0,1W 50V, CR0603-JW-152ELF	2
2683	R10, R101, R115, R116, R144, R167, R35, R4, R47, R48, R5, R82, R85, R86, R87, R88, R92, R98, 	10k	Chip resistor 0402 1% 10K OHM 1/16W, CRCW040210K0FKED	18
1755	R11, R12, R13, R14, R19, R20, R21, R22, 	20k	Chip resistor 0402 1% 20K OHM 1/16W, CRCW040220K0FKED	8
2682	R15, R16, R17, R18, R250, R27, R28, R29, R30, R77, 	30k	Chip resistor 0402 1% 30K OHM 1/16W, CRCW040230K0FKED	10

2052	R55, R56, R62, R63, R64, R71, R72, R73, 	51	Chip resistor 0805 5% 51 Ohm 0,125W 100V(CR0805-JW-510ELF, RC0805JR-0751RL) [SMD]	8
	R57, R58, R65, R66, R67, R74, R75, R76, 	0R22	RES_0R22Ohm_0.5W_1%_SMD_1210	8
2064	R80, R81, 	10	RES_10_Ohm_0.25W_5%_SMD_1206	2
1972	R93, 	150	RES_150Ohm_0.1W_5%_SMD_0603	1
3227	R95, 	357	Chip resistor 0603 1% 357 Ohm [SMD]	1
1905	R96, 	24K9	Chip resistor 0603 1% 24K9 0,1W 50V, CR0603-FX-2492ELF [SMD]	1
3229	R97, 	169k	Chip resistor 0603 1% 169K [SMD]	1

3229	R1001, 	DNP	Chip resistor 0603 1% 169K [SMD]	1
3229	R1002, R1003, R1004 	DNP	Chip resistor 0603 1% 169K [SMD]	1

1893	R100, R105, R110, R117, R131, R134, R135, R136, R137, 	1k	Chip resistor 0603 1% 1K 0,1W 50V, CR0603-FX-1001ELF [SMD]	9
2681	R102, R108, R111, R112, R127, R129, R78, R79, R91, R94, 	105k	Chip resistor 0402 1% 105K OHM 1/16W, CRCW0402105KFKED	10
1998	R103, R107, 	47k	Chip resistor 0603 5% 47K 0,1W 50V, CR0603-JW-473ELF [SMD]	2
1885	R104, R109, R122, R99, 	15k	Chip resistor 0603 1% 15K OHM [SMD]	4
1965	R106, R118, R37, R39, R40, R44, R45, R46, R49, R50, R51, R89, R90, 	0	Chip resistor 0603 5% 0 Ohm 0,1W 50V, CRCW06030000Z0EA	13
~	R113, R114, 	5.1	RES_5.1_Ohm_0.1W_5%_SMD_0603	2
1881	R119, 	12k	Chip resistor 0603 1% 12K [SMD]	1
1875	R120, 	10k	Chip resistor 0603 1% 10K 0,1W 50V, CRCW060310K0FKEA[SMD]	1
1889	R121, 	182k	Chip resistor 0603 1% 182K 0,1W 50V [SMD]	1
1878	R123, 	11k8	Chip resistor 0603 1% 11K8 0,1W 50V, CR0603-FX-1182ELF [SMD]	1
1901	R124, 	20k	Chip resistor 0603 1% 20K 0.1 W, CRCW060320K0FKEA [SMD]	1
1873	R125, 	100k	Chip resistor 0603 1% 100K 0,1W 50V [SMD]	1
~	R130, 	2R	Chip resistor 2512 5% 2 Ohm 1W 50V [SMD]	1
1902	R132, 	21k	RES_21kOhm_0.1W_1%_SMD_0603	1
1926	R133, 	3k	Chip resistor 0603 1% 3K OHM [SMD]	1

1980	R154, R155, R156, R157, R158, R176, R177, R53, R54, R59, R60, R61, R68, R69, R70, 	22	Chip resistor 0603 5% 22 Ohm 0,1W 50V, CR0603-JW-220ELF [SMD]	15
1943	R166, R180, 	4k99	RES_4.99kOhm_0.1W_1%_SMD_0603	2
1761	R181, R182, R183, R184, R185, R186, R187, R188, R189, R190, R191, R192, R208, R209, R210, R211, R212, R213, R214, R215, R216, R217, R218, R219, R220, R221, R222, R223, R236, R237, R238, R239, R240, R241, R242, R243, 	49R9	RES_49.9_Ohm_1%_SMD_0402	36
1957	R193, R194, R195, R196, R197, R198, R199, R200, R201, R202, R224, R225, R226, R227, R228, R229, R230, R231, R244, R245, R246, R247, 	75	Chip resistor 0603 1% 75 Ohm 0,1W 50V, CR0603-FX-75R0ELF 	22
-	R203, R204, R205, R206, R207, R232, R233, R234, R235, R248, R249, R83, R84, 	470	RES_470_Ohm_1%_SMD_0402	13
1571	SW1, SW2, SW3, SW4, SW5, 	TS-A02VD-2-S090	SWT-3(EQU. ULO-MDR497; TS-A02VD-2-S090), Tact Switch connector [DIP]	5
3230	SW6, 	JMP2	DS1040-01RT_DIP_9.9x4x8LS7.62	1
-	T1, T10, T2, T3, T4, T5, T6, T7, T8, T9, 	TG110-RPE5N5RL	TG110-RPE5N5RL_SMD_12.7x9.53x6.35	10
