Odoo,Ref,Value,Name,Qnty
1965,"R66, ",0,"Chip resistor 0603 5% 0 Ohm 0,1W 50V, CRCW06030000Z0EA ",1
1884,"R67, ",13k7,"Chip resistor 0603 1% 13K7, 0,1W 50V",1
~,"T1, ",K28-020-003,K28-020-003_DIP_24.5x25.0x26.0,1
1556,"T2, ",LFU09V-302,"UU9.8V, LINE FILTERS / LFU TYPE( K28-009-001, NFU98V‐302 or LFU09V-302) ",1
~,"U1, ",MCP23017_SMD_QFN28,MCP23017-E/ML  QFN28,1
~,"U2, ",STPM32TR_SMD_QFN-24,STPM32TR_power meter_SMD_QFN-24,1
,"U4, U5, ",TLP2361,TLP2361_SMD_7x3.7,2
,"U6, ",TNY290K,TNY290K_SMD_eSOP-12B,1
2223,"U7, ",TL431,"TL431ACDBZR, Adjustable Precision Shunt Regulator,  SOT-23-3",1
1693,"U8, ",LD1117S33CTR,"LD1117S33CTR, Adjustable and fixed low drop positive voltage regulator, Output 3.3V 0.8A Positive, SOT-223-3(Equ. NCP1117ST33T3G) [SMD]",1
1692,"VO1, ",PC357N,"PC357N2J000F, Transistor Output Optocouplers 130-260% CTR ranked, Miniflat-4 ",1
3083,"VR1, ",FRV040-240F_DIP_9.6x3.8x17.4,"FRV040-240F, Radial Leaded PTC Resettable Fuse",1
,"Y1, ",Q_SPK-16M-49US-SMD_HC49,Crystal 16MHZ HC-49SM,1
