Odoo,Ref,Value,Name,Qnty
1819,"",100n,"Chip ceramic capacitor 0603 0.1 uF 10% 50V X7R (104)- GRM188R71H104KA93( To replace 16V, 25V) [SMD]",3
~,"C2, ",100u,ESH107M035AE3 (100uF 35V),1

1705,"C3, C4, C5, C7, C9, C10, C23, C30, C32, C36, C37, ",100n,"Chip ceramic capacitor 0402 0.1 UF 50V 10% X7R, CC0402KRX7R9BB104",11
-,"C6, ",10n,CAP_10n_SMD_0402,1
2689,"C8, ",2u2,"Chip ceramic capacitor 0402 2.2 UF 10% 25V X5R, C1005X5R1E225K050BC",1
~,"C11, C13, ",15p,Chip ceramic capacitor 0603 15 pF 5% 50V C0G[SMD],2
1711,"C12, ",4u7,"Chip ceramic capacitor 0402 4.7 UF 20% 10V X5R, C1005X5R1A475M050BC",1
1800,"C15, C16, ",100pF 3kV,"Capacitor ceramic 100 pF 20% 3 kV d=8.4 mm lead=7.5 mm, PN: 222274774109(CC 100PK 3KV  D=8.4 mm lead=7.5 mm EPOXY)",2
1714,"C17, C19, ",10uF 25V,"Chip ceramic capacitor 0603 10 uf 25V 20% X5R, C1608X5R1E106M080AC",2
1801,"C18, C21, ",100nF 630V,"Capacitor METALLIZED POLYPROPYLENE FILM CAPACITOR 0.1uF 10% 275VAC=630VDC P=10MM, MPX104K3IC04, ( Equ. HQX104K275I28SNY)",2
1798,"C20, ",2200pF 250V,"CAP CER 2200PF 250VAC 20% RADIAL, CD12-E2GA222MYNS(A)(VY1222M47Y5UQ63V0) ",1
1786,"C22, C24, C27, ",330uF 50V,"Aluminum capacitor radial 330 uF 20% 50V 10X17 (10X20), P/N: HR330M50W1020",3
2726,"C25, C28, ",15uF 400V,"UCY2G150MPD1TD, CAP_15uF_400V_ELECTROLITE_DIP_10x20LS5p0.8",2
2886,"C26, ",100p,Chip ceramic capacitor 1206 100 pF 5% 1KV NPO- CC1206JKNPOCBN101[SMD],1
2671,"C29, C31, C34, C35, ",22uF 25V,C_22uF_25V_SMD_0805,4
2729,"C33, ",100uF 25V,"Aluminum capacitors RVZ series 100uF_25V_ELECTROLITE_SMD_8x6.5, RVZ-25V101MG68U-R2",1
2732,"D1, D12, D21, ",PMEG3030EP,"PMEG3030EP,115, Schottky Rectifiers 30V 3A, SOD-128-2 [SMD]",3
-,"D2, ",SMBJ13A,SMBJ13A_SMD_SMB,1
2126,"D3, D4, D5, D6, D17, D18, ",LL4148,"LL4148, DIODE SMALL SIG 100V 0.2A SOD-80, Fairchild Semiconductor [SMD]",6
2707,"D7, D8, D9, D10, ","BAT54S,215","BAT54S,215,  SCHOTTKY 30V 225mA, SOT-23-3 [SMD]",4
2858,"D11, ",SMAJ26A,"SMAJ26A, TVS Diodes, 26volts 5uA 9.5 Amps Uni-Dir, SMD/SMT [SMD]",1
,"D19, ",1.5KE200A,1_5KE200A_DO-201_Vertical_DIP,1
2896,"D20, ",US1K,"US1K-TP, 1 Amp Ultra Fast Rectifier 50 to 1000 Volts, SMA (DO-214AC)",1
-,"D22, ",SDT15H100P5-7,SDT15H100P5-7-ND_SMD_PowerDI5,1
1588,"D23, ",DF10S2,"DF10S2, DIODE BRIDGE SDIP PN 2A 1000V, SDIP-4L [SMD]",1
~,"F1, ",1206L050/24,"1206L050/24, PTC Resettable Fuses 0.50A [SMD]",1
~,"F2, ",390V,KLS6-07D391K,1
~,"J1, ",2EDGRC-5.0-05P_1Y_DIP_26.4x12.1x8.2,2EDGRC-5.0-05P_1Y_DIP_26.4x12.1x8.2,1
~,"J2, ",P20J1L-04,P20J1L-04_DIP_6x9.5x5.2,1
~,"J3, J6, J7, J8, J9, ",2EDGRC-5.0-03P_1Y_DIP_16.4x12.1x8.2,2EDGRC-5.0-03P_1Y_DIP_16.4x12.1x8.2,5
1699,"J10, ",KLS2-EDR-3.50-08P4,"STK-15EDGRC-3.5-8P, PCB terminal block connector, R/A 8Pin [DIP]",1
2218,"J11, ",KLS2-EDR-3.50-06P4,"STK-15EDGRC-3.5-6P, PCB terminal block connector, R/A 6Pin [DIP]",1
~,"K1, K2, K3, K4, ",HF152F_012-1ZT,HF152F_012-1ZT_form_C_relay_12V_coil_DIP_21.2x16x20.6,4
~,"K5, K6, ",TRIL-12D-SD-2AM-R,TRIL-12D-SD-2CM-R (HF115FK/12-2H4T),2
~,"L1, ",ABG06A45M151,ABG06A45M151_L_SMD_6x6x4.5,1
~,"L2, ",ABG06A45M100,ABG06A45M100_L_SMD_6x6x4.5,1
2739,"Q1, Q3, Q4, Q5, Q6, Q7, Q11, Q15, Q19, ",DTC143ECAT,"DTC143ECAT116, NPN resistor-equipped transistors, 100mA 50V, R1=4K7 Ohm, R2=4K7 Ohm, SOT-23 [SMD]",9
2823,"Q2, ",IRLML9301,"IRLML9301TRPBF, MOSFET MOSFT P-Ch -30V -3.6A 64mOhm, SOT-23-3 [SMD]",1
2737,"Q8, Q12, Q16, Q20, ",DTA143,"DTA143ECAT116, PNP resistor-equipped transistors, 100mA 50V, R1=4K7 Ohm, R2=4K7 Ohm, SOT-23 [SMD]",4
-,"Q9, Q10, Q13, Q14, Q17, Q18, Q21, Q22, ",ZXMS6004FF,ZXMS6004FF_protected_nmosfet_SMD_SOT23,8
1914,"R1, ",30k,"Chip resistor 0603 1% 30K 0,1W 50V, CR0603-FX-3002ELF [SMD]",1
2683,"R2, R3, R7, R8, R9, R10, R20, R21, R23, R25, R26, R27, R28, R29, R31, R33, R36, R38, R41, R51, ",10k,"Chip resistor 0402 1% 10K OHM 1/16W, CRCW040212K0FKED",20
2683,"R6, ",10k,"Chip resistor 0402 1% 10K OHM 1/16W, CRCW040212K0FKED",1
1755,"R11, R12, R13, R14, ",20k,"Chip resistor 0402 1% 20K OHM 1/16W, CRCW040220K0FKED",4
1762,"R15, R16, R17, R18, ",4k7 0402,"Chip resistor 0402 1% 4K7 OHM, CRCW04024K70FKED",4
1999,"R19, R22, R24, ",4k7,"Chip resistor 0603 5% 4K7 0,1W 50V, CR0603-JW-472ELF [SMD]",3
1893,"R42, R50, ",1k,"Chip resistor 0603 1% 1K 0,1W 50V, CR0603-FX-1001ELF [SMD]",2
~,"R43, R44, R45, ",LR2512,LR2512 2 2 R030 F (RARAOHM),3
~,"R46, R47, R48, ",270k,RES_270kOhm_0.1W_1%_SMD_1206,3
~,"R49, ",470,RES_470Ohm_0.1W_5%_SMD_1206,1
1753,"R52, R64, ",1k 0402,"Chip resistor 0402 1% 1K OHM 1/16W, CRCW04021K00FKED [SMD]",2
1977,"R53, ",1M,Chip resistor 0603 5% 1M [SMD],1
-,"R54, R55, ",470 0402,RES_470_Ohm_1%_SMD_0402,2
2067,"R56, R57, ",2M,"Chip resistor 1206 5% 2M 0.25W 200V,  CR1206-JW-205ELF [SMD]",2
2065,"R58, R59, R60, ",180k,"Chip resistor 1206 5% 180K 0,25W 200V(CR1206-JW-184ELF, RC1206JR-07180KL)",3
2796,"R61, R62, R63, ",100,Chip resistor 1206 1% 100 Ohm [SMD],3
1995,"R65, ",3k3,"Chip resistor 0603 5% 3K3 0,1W 50V, CR0603-JW-332ELF ",1
