Odoo,Ref,Value,Name,Qnty
1753,"R52, R64",,"Chip resistor 0402 1% 1K OHM 1/16W, CRCW04021K00FKED [SMD]",2
1977,R53,,Chip resistor 0603 5% 1M [SMD],1
2796,"R61, R62, R63",,Chip resistor 1206 1% 100 Ohm [SMD],3
3597,"R54, R55",,Chip resistor 0402 1% 470 OHM [SMD],2
2067,"R56, R57",,"Chip resistor 1206 5% 2M 0.25W 200V,  CR1206-JW-205ELF [SMD]",2
2065,"R58, R59, R60",,"Chip resistor 1206 5% 180K 0,25W 200V(CR1206-JW-184ELF, RC1206JR-07180KL) [SMD]",3
1995,R65,,"Chip resistor 0603 5% 3K3 0,1W 50V, CR0603-JW-332ELF [SMD]",1
1965,R66,,"Chip resistor 0603 5% 0 Ohm 0,1W 50V, CRCW06030000Z0EA  [SMD]",1
1884,R67,,"Chip resistor 0603 1% 13K7, 0,1W 50V [SMD]",1
1556,T2,,"UU9.8V, LINE FILTERS / LFU TYPE( K28-009-001, NFU98V‐302 or LFU09V-302) [DIP]",1
4047,U6,,"TNY290KG-TL, AC/DC Converter, eSOP-12B [SMD]",1
2223,U7,,"TL431ACDBZR, Adjustable Precision Shunt Regulator,  SOT-23-3 [SMD]",1
1693,U8,,"LD1117S33CTR, Adjustable and fixed low drop positive voltage regulator, Output 3.3V 0.8A Positive, SOT-223-3(Equ. NCP1117ST33T3G) [SMD]",1
1692,VO1,,"PC357N2J000F (KPC357NT0BTLD), Transistor Output Optocouplers 130-260% CTR ranked, Miniflat-4 [SMD]",1
3083,VR1,,"FRV040-240F, PTC 0.25A, 240V, Lead Size: 22AWG , Φ 0.65 mm Diameter [DIP]",1
3542,U2,,"STPM32TR, Current & Power Monitors & Regulators 2.95 V to 3.65 V, QFN-24 [SMD] ",1
3692,Y1,,Crystal 16MHZ HC-49SM(P/N: SPK-16M-49US-SMD 16.000M 30PF 30PPM 49US) [SMD],1
3691,T1,,"K28-020-003, TRANSFORMER PQ20/20 [DIP]",1
3600,U1,,"MCP23017-E/ML, I/O Expander 16bit Input/Output Exp I2C interface, QFN-28 [SMD] ",1
2739,"Q1, Q3, Q4, Q5, Q6, Q7, Q11, Q15, Q19",,"DTC143ECAT116, NPN resistor-equipped transistors, 100mA 50V, R1=4K7 Ohm, R2=4K7 Ohm, SOT-23 [SMD]",9
1999,"R19, R22, R24",,"Chip resistor 0603 5% 4K7 0,1W 50V, CR0603-JW-472ELF [SMD]",3
3747,"U4, U5",,"TLP2361, High Speed Optocouplers, GaA ℓAs Infrared LED & Photo IC, SO-6 [SMD] ",2
