Odoo	Ref	Value	Name	Qnty
1717	C56		Chip ceramic capacitor 0603 1 uF  25V 20% X5R (105) - C1608X5R1E105M080AC [SMD]	1.0
2671	C52, C53, C59, C60, C65, C67, C69		Chip ceramic capacitor 0805 22 uF 20% 25V X5R- C2012X5R1E226M125AC [SMD]	7.0
1829	C57, C58		Chip ceramic capacitor 0603 100 pF 5% 50V C0G (101)- GRM1885C1H101JA01D [SMD]	2.0
3354	C64, C72		Aluminum capacitors RVZ series 100uF 35V, 8X10mm, RVZ-35V101MGA5U-R2 [SMD]	2.0
1813	C63		Chip ceramic capacitor 0603 22 pF 5% 50V C0G- GRM1885C1H220JA01 [SMD]	1.0
1865	C75, C76, C77, C78		Chip ceramic capacitor 1206 22 uF 20% 16V X7R (226), EMK316BB7226ML-T  [SMD]	4.0
3702	C82, C83, C84, C85		WPL-2F2.7V0816, 2F 2.7V, Size: 8X16mm [DIP] 	4.0
1844	C79		Chip ceramic capacitor 0603 470 pF 10% 50V X7R- GRM188R71H471KA01D [SMD]	1.0
2689	C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20		Chip ceramic capacitor 0402 2.2 UF 10% 25V X5R, C1005X5R1E225K050BC[SMD]	13.0
1831	C80		Chip ceramic capacitor 0603 1000 pf (1.0 nF) 5% 50V NPO (102)- GRM1885C1H102JA01D ( Replace 16V, 25V) [SMD]	1.0
1832	C93, C94		Chip ceramic capacitor 0603 18 pF 5% 50V C0G, GRM1885C1H180JA01D  [SMD]	2.0
1582	D12, D13		DF10S-T Bridge Rectifiers Vr=1000V  Io=1A [SMD]	2.0
2126	D1, D2, D3, D4, D19, D20, D23, D24		LL4148, DIODE SMALL SIG 100V 0.2A SOD-80, Fairchild Semiconductor [SMD]	8.0
1741	D11, D33		SMBJ6.0A, Surface mount unidirectoinal suppressor 6V SMB [SMD]	2.0
2732	D15		PMEG3030EP,115, Schottky Rectifiers 30V 3A, SOD-128-2 [SMD]	1.0
3863	D17, D26, D28, D29		SVC10120VB, Ultra Low VF Schottky Rectifier, 120V 10A 3-Pin, TO-277B [SMD]	4.0
2932	D18, D22, D30		BZV55-C5V6,115,  Zener Diodes 500MW 5.6V, SOD-80C-2 [SMD]	3.0
1559	D21, D25, D27		B1100-13-F, 1.0A HIGH VOLTAGE SCHOTTKY BARRIER RECTIFIER, SMA [SMD]	3.0
